Date,Open,High,Low,Close,Adj Close,Volume
2020-12-31,6.139999866485596,6.199999809265137,5.070000171661377,5.380000114440918,5.380000114440918,20479100
2021-01-04,5.5,6.059999942779541,5.110000133514404,5.210000038146973,5.210000038146973,13473800
2021-01-05,4.940000057220459,5.599999904632568,4.860000133514404,5.519999980926514,5.519999980926514,19221100
2021-01-06,5.539999961853027,5.75,5.059999942779541,5.230000019073486,5.230000019073486,19778900
2021-01-07,5.400000095367432,6.309999942779541,5.380000114440918,5.909999847412109,5.909999847412109,20313300
2021-01-08,6.159999847412109,6.239999771118164,5.650000095367432,5.900000095367432,5.900000095367432,11316600
2021-01-11,5.829999923706055,6.289999961853027,5.78000020980835,5.849999904632568,5.849999904632568,9848100
2021-01-12,5.889999866485596,5.96999979019165,5.480000019073486,5.599999904632568,5.599999904632568,8302600
2021-01-13,5.590000152587891,6.980000019073486,5.369999885559082,6.550000190734863,6.550000190734863,29358000
2021-01-14,6.559999942779541,7.0,6.059999942779541,6.599999904632568,6.599999904632568,26727400
2021-01-15,6.590000152587891,7.480000019073486,6.460000038146973,6.610000133514404,6.610000133514404,22289200
2021-01-19,6.900000095367432,7.179999828338623,6.510000228881836,7.050000190734863,7.050000190734863,12545900
2021-01-20,7.070000171661377,7.449999809265137,6.619999885559082,6.869999885559082,6.869999885559082,11041300
2021-01-21,6.889999866485596,6.889999866485596,6.28000020980835,6.789999961853027,6.789999961853027,7605200
2021-01-22,6.639999866485596,6.820000171661377,6.539999961853027,6.760000228881836,6.760000228881836,5915300
2021-01-25,6.800000190734863,7.610000133514404,6.659999847412109,7.25,7.25,14233200
2021-01-26,7.329999923706055,8.479999542236328,7.210000038146973,8.140000343322754,8.140000343322754,23376900
2021-01-27,7.710000038146973,8.40999984741211,7.300000190734863,7.429999828338623,7.429999828338623,14663100
2021-01-28,7.909999847412109,8.09000015258789,7.110000133514404,7.239999771118164,7.239999771118164,11122700
2021-01-29,7.289999961853027,7.449999809265137,6.820000171661377,7.110000133514404,7.110000133514404,8711300
2021-02-01,7.309999942779541,7.579999923706055,6.849999904632568,7.369999885559082,7.369999885559082,10596300
2021-02-02,7.440000057220459,8.130000114440918,7.099999904632568,7.630000114440918,7.630000114440918,13461000
